address,suburb,postcode,region,price_raw,property_type,bedrooms,bathrooms,car_spaces,land_size,distance_km_from_wilgena,school_zone,safety_rating,year_built,url
"37A Arthur Street,Ridgehaven SA 5097",Ridgehaven,5097,Adelaide Hills & North-East Enclaves,Expressions of Interest,House,3,1,2,400 m²,16.48,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=37A+Arthur+Street%2C+Ridgehaven+SA+5097
"8 Selby Avenue,Ridgehaven SA 5097",Ridgehaven,5097,Adelaide Hills & North-East Enclaves,Under Contract,House,3,1,4,703 m²,16.48,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=8+Selby+Avenue%2C+Ridgehaven+SA+5097
"1025 North East Road,Ridgehaven SA 5097",Ridgehaven,5097,Adelaide Hills & North-East Enclaves,Contact Agent,House,3,1,4,900 m²,16.48,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=1025+North+East+Road%2C+Ridgehaven+SA+5097
"109 Hancock Road,Tea Tree Gully SA 5091",Tea Tree Gully,5091,Adelaide Hills & North-East Enclaves,$789K - $849K,House,3,1,2,254 m²,16.9,Golden Grove High School / Pedare / Gleeson,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=109+Hancock+Road%2C+Tea+Tree+Gully+SA+5091
"25 Wattle Crescent,Tea Tree Gully SA 5091",Tea Tree Gully,5091,Adelaide Hills & North-East Enclaves,"Best Offers By 5PM Tuesday 8th September, USP",House,3,2,1,760 m²,16.9,Golden Grove High School / Pedare / Gleeson,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=25+Wattle+Crescent%2C+Tea+Tree+Gully+SA+5091
"55 Gaylard Crescent,Redwood Park SA 5097",Redwood Park,5097,Adelaide Hills & North-East Enclaves,"$795,000 - $845,000",House,3,2,1,586 m²,17.11,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=55+Gaylard+Crescent%2C+Redwood+Park+SA+5097
"38 Gaylard Crescent,Redwood Park SA 5097",Redwood Park,5097,Adelaide Hills & North-East Enclaves,"$895,000 - $979,000",House,3,2,2,1885.931712 m²,17.11,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=38+Gaylard+Crescent%2C+Redwood+Park+SA+5097
"6 Hodges Street,Redwood Park SA 5097",Redwood Park,5097,Adelaide Hills & North-East Enclaves,Under Contract,House,3,2,2,1439.99712 m²,17.11,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),1980,https://www.domain.com.au/sale/?terms=6+Hodges+Street%2C+Redwood+Park+SA+5097
"52 Cronulla Drive,Redwood Park SA 5097",Redwood Park,5097,Adelaide Hills & North-East Enclaves,Auction 30th Sept | 5:00pm,House,3,2,2,899 m²,17.11,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=52+Cronulla+Drive%2C+Redwood+Park+SA+5097
"12 Sunhaven Road,Redwood Park SA 5097",Redwood Park,5097,Adelaide Hills & North-East Enclaves,Contact Agent,House,3,1,2,696 m²,17.11,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=12+Sunhaven+Road%2C+Redwood+Park+SA+5097
"12/319 Military Road,Semaphore Park SA 5019",Semaphore Park,5019,Western Coastal & Beachside,"$979,000",Unit / Villa,3,3,2,317 m²,17.73,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1975 - 1990 (Solid Brick Colonial),https://www.domain.com.au/sale/?terms=12%2F319+Military+Road%2C+Semaphore+Park+SA+5019
"8 Penny Street,Semaphore SA 5019",Semaphore,5019,Western Coastal & Beachside,$1.1m,House,3,1,0,127 m²,17.73,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=8+Penny+Street%2C+Semaphore+SA+5019
"3/3 Bray Avenue,Semaphore Park SA 5019",Semaphore Park,5019,Western Coastal & Beachside,Best Offers by 29th Sept | 5pm,House,3,2,2,173 m²,17.73,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=3%2F3+Bray+Avenue%2C+Semaphore+Park+SA+5019
"4 Hazel Grove,Semaphore Park SA 5019",Semaphore Park,5019,Western Coastal & Beachside,Auction on site Saturday 10 October at 4:00pm USP,House,3,1,5,594 m²,17.73,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=4+Hazel+Grove%2C+Semaphore+Park+SA+5019
"1/13 Bartlett Terrace,Semaphore Park SA 5019",Semaphore Park,5019,Western Coastal & Beachside,Best Offers By 15/9,House,3,2,2,365 m²,17.73,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=1%2F13+Bartlett+Terrace%2C+Semaphore+Park+SA+5019
"184 Bower Road,Semaphore Park SA 5019",Semaphore Park,5019,Western Coastal & Beachside,Auction 19th September | 11:00am,House,3,1,1,171 m²,17.73,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=184+Bower+Road%2C+Semaphore+Park+SA+5019
"10 Penny Street,Semaphore SA 5019",Semaphore,5019,Western Coastal & Beachside,Auction,House,3,1,2,152 m²,17.73,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=10+Penny+Street%2C+Semaphore+SA+5019
"22 Condada Drive,Banksia Park SA 5091",Banksia Park,5091,Adelaide Hills & North-East Enclaves,"$880,000 - $920,000",House,3,1,3,770 m²,18.32,Golden Grove High School / Pedare / Gleeson,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=22+Condada+Drive%2C+Banksia+Park+SA+5091
"4 Nunyah Drive,Banksia Park SA 5091",Banksia Park,5091,Adelaide Hills & North-East Enclaves,"$995,000",House,3,2,3,683 m²,18.32,Golden Grove High School / Pedare / Gleeson,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=4+Nunyah+Drive%2C+Banksia+Park+SA+5091
"578 Milne Road,Banksia Park SA 5091",Banksia Park,5091,Adelaide Hills & North-East Enclaves,Contact Agent,House,3,1,3,730 m²,18.32,Golden Grove High School / Pedare / Gleeson,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=578+Milne+Road%2C+Banksia+Park+SA+5091
"19 Lydia Avenue,Surrey Downs SA 5126",Surrey Downs,5126,Adelaide Hills & North-East Enclaves,"$749,000 - $799,000",House,3,1,2,669 m²,19.29,Golden Grove High School / Pedare / Gleeson,Grade A- (Established Safe Residential Suburb ~40-46/1k),1983,https://www.domain.com.au/sale/?terms=19+Lydia+Avenue%2C+Surrey+Downs+SA+5126
"71 Casuarina Avenue,Surrey Downs SA 5126",Surrey Downs,5126,Adelaide Hills & North-East Enclaves,"$749,000-$789,000",House,3,1,4,570 m²,19.29,Golden Grove High School / Pedare / Gleeson,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=71+Casuarina+Avenue%2C+Surrey+Downs+SA+5126
"17 Wyndham Crescent,Surrey Downs SA 5126",Surrey Downs,5126,Adelaide Hills & North-East Enclaves,"$849,000 - $899,000",House,3,1,2,717 m²,19.29,Golden Grove High School / Pedare / Gleeson,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=17+Wyndham+Crescent%2C+Surrey+Downs+SA+5126
"7/14 Sandstock Boulevard,Golden Grove SA 5125",Golden Grove,5125,Adelaide Hills & North-East Enclaves,"$850,000 - $900,000",House,3,2,2,182 m²,20.78,Golden Grove High School / Pedare / Gleeson,"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=7%2F14+Sandstock+Boulevard%2C+Golden+Grove+SA+5125
"26 Tuscan Road,Golden Grove SA 5125",Golden Grove,5125,Adelaide Hills & North-East Enclaves,"$895,000 - $975,000",House,3,2,1,1347.09408 m²,20.78,Golden Grove High School / Pedare / Gleeson,"Grade A (High Safety, Family Oriented ~30-36/1k)",2012,https://www.domain.com.au/sale/?terms=26+Tuscan+Road%2C+Golden+Grove+SA+5125
"5 Para Valley Road,Golden Grove SA 5125",Golden Grove,5125,Adelaide Hills & North-East Enclaves,Expressions of interest,House,3,2,12,534300 m²,20.78,Golden Grove High School / Pedare / Gleeson,"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=5+Para+Valley+Road%2C+Golden+Grove+SA+5125
"7 Roycroft Place,Golden Grove SA 5125",Golden Grove,5125,Adelaide Hills & North-East Enclaves,Under Contract,House,3,2,2,530 m²,20.78,Golden Grove High School / Pedare / Gleeson,"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=7+Roycroft+Place%2C+Golden+Grove+SA+5125
"8 Lakeside Court,Greenwith SA 5125",Greenwith,5125,Adelaide Hills & North-East Enclaves,"$699,000 - $729,000",House,3,1,1,275 m²,22.4,Golden Grove High School / Pedare / Gleeson,"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=8+Lakeside+Court%2C+Greenwith+SA+5125
"16 Mcleod Court,Greenwith SA 5125",Greenwith,5125,Adelaide Hills & North-East Enclaves,Contact Agent.,House,3,2,2,1108 m²,22.4,Golden Grove High School / Pedare / Gleeson,"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=16+Mcleod+Court%2C+Greenwith+SA+5125
